out	SSCTP1INNTRBBR1	SSCTP1INNTRBBR2	SSCTP1INNTRBBR3	SSCTP1INNTRBBR4	SSCTP1INNTRNBR1	SSCTP1INNTRNBR2	SSCTP1INNTRNBR3	SSCTP1INNTRNBR4	SSCTP1INNTRRBR1	SSCTP1INNTRRBR2	SSCTP1INNTRRBR3	SSCTP1INNTRRBR4	SSCTP1INYTRBBR1	SSCTP1INYTRBBR2	SSCTP1INYTRBBR3	SSCTP1INYTRBBR4	SSCTP1INYTRNBR1	SSCTP1INYTRNBR2	SSCTP1INYTRNBR3	SSCTP1INYTRNBR4	SSCTP1INYTRRBR1	SSCTP1INYTRRBR2	SSCTP1INYTRRBR3	SSCTP1INYTRRBR4	SSCTP2INNTRBBR1	SSCTP2INNTRBBR2	SSCTP2INNTRBBR3	SSCTP2INNTRBBR4	SSCTP2INNTRNBR1	SSCTP2INNTRNBR2	SSCTP2INNTRNBR3	SSCTP2INNTRNBR4	SSCTP2INNTRRBR1	SSCTP2INNTRRBR2	SSCTP2INNTRRBR3	SSCTP2INNTRRBR4	SSCTP2INYTRBBR1	SSCTP2INYTRBBR2	SSCTP2INYTRBBR3	SSCTP2INYTRNBR1	SSCTP2INYTRNBR2	SSCTP2INYTRNBR3	SSCTP2INYTRNBR4	SSCTP2INYTRRBR1	SSCTP2INYTRRBR2	SSCTP2INYTRRBR3	SSNTP1INNTRBBR1	SSNTP1INNTRBBR2	SSNTP1INNTRBBR3	SSNTP1INNTRBBR4	SSNTP1INNTRNBR1	SSNTP1INNTRNBR2	SSNTP1INNTRNBR3	SSNTP1INNTRNBR4	SSNTP1INNTRRBR1	SSNTP1INNTRRBR2	SSNTP1INNTRRBR3	SSNTP1INNTRRBR4	SSNTP1INYTRBBR1	SSNTP1INYTRBBR2	SSNTP1INYTRBBR3	SSNTP1INYTRBBR4	SSNTP1INYTRNBR1	SSNTP1INYTRNBR2	SSNTP1INYTRNBR3	SSNTP1INYTRNBR4	SSNTP1INYTRRBR1	SSNTP1INYTRRBR2	SSNTP1INYTRRBR3	SSNTP1INYTRRBR4	SSNTP2INNTRBBR1	SSNTP2INNTRBBR2	SSNTP2INNTRBBR3	SSNTP2INNTRBBR4	SSNTP2INNTRNBR1	SSNTP2INNTRNBR2	SSNTP2INNTRNBR3	SSNTP2INNTRNBR4	SSNTP2INNTRRBR1	SSNTP2INNTRRBR2	SSNTP2INNTRRBR3	SSNTP2INNTRRBR4	SSNTP2INYTRBBR1	SSNTP2INYTRBBR2	SSNTP2INYTRBBR3	SSNTP2INYTRBBR4	SSNTP2INYTRNBR1	SSNTP2INYTRNBR2	SSNTP2INYTRNBR3	SSNTP2INYTRNBR4	SSNTP2INYTRRBR1	SSNTP2INYTRRBR2	SSNTP2INYTRRBR3
66d5e69247fc8a340fd7a5924bbb89ac	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11313816ca4c4a8495a092b58cfb7724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c7ca1364f356c09c8295eaab53aa4ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d8be7e0bca1840b4ce54f4320f7113ee	7	3	8	4	14	13	54	20	26	17	80	23	3	8	9	23	23	6	12	30	5	5	0	0	6	0	1	6	29	11	21	25	8	14	4	16	5	0	8	22	14	47	17	112	22	5	14	11	15	17	10	39	24	50	13	39	14	15	25	16	55	25	15	14	6	10	23	15	344	12	7	0	0	8	10	5	6	13	7	10	2	5	9	15	22	12	5	0	4	6	14	4	2
706ef832a3742b6fab10adb643b9073b	13	7	9	10	11	6	7	10	11	18	24	11	6	5	9	5	9	10	22	12	7	4	16	7	12	8	2	2	9	3	8	10	7	9	9	6	13	8	5	7	2	14	5	8	6	5	11	3	7	14	11	24	14	20	18	21	11	6	11	12	15	7	8	15	5	8	13	17	12	9	7	6	1	9	11	5	4	3	7	7	3	2	12	11	17	11	9	0	8	2	9	6	9
505789ae31f6c94160bb637478de35bb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8af6b729050c3014fa14cb7d88bb08cc	8	4	3	4	2	4	2	6	3	7	6	4	3	6	2	0	9	8	7	7	3	3	3	4	10	3	0	0	3	0	7	2	3	3	4	2	3	2	0	3	2	3	5	7	2	8	6	2	6	2	4	2	2	3	0	3	6	14	1	3	3	2	1	3	2	3	5	6	6	5	3	0	3	3	5	4	2	4	2	4	0	5	2	9	7	7	6	4	5	1	7	1	7
1a67b4d8d37c2f74fb4500bbfcfc8e3a	0	5	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8db9e26da5fe03d1e6c2ffbd64091e3	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bff8d700763e4f3e9225dc49ca5ac4a2	0	0	0	0	0	0	0	0	4	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	13	2	3	8	23	0	1	0	0	0	0	0	1	0	0	12	0	4	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	4	4
