out	Kingdom	Phylum	Class	Order	Family	Genus	Species
15bcc04a99ac5ae6ac3a0cf098ce612d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiales_Incertae_Sedis	 g__Bauldia	
f38f23511388b2e05bece193480cfc58	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	
6b25df50c379950b1794702e35fbc18c	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
df15f02de3ea0676771060402c5c049d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
08090a34fabef90554796a3a9a913267	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Sutterellaceae	 g__uncultured	
b0bd0c4181fa3efba284071aea4645b8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae		
6a749924c5f4a00484b40e01466f902d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae		
1c499326d842653ade5dd68bb170d50e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
ddc60ff7c7fae2acc9be68c9b31a0443	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Micrococcaceae	 g__Paenarthrobacter	
e0190d44c7b294b0c3cecaf468d67e38	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Parafilimonas	
c0428e1f7078f7c1415fb80a5b70fa9e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae	 g__Stenotrophomonas	
ede545d875e394da212b5c45b91e21a0	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Haliangiales	 f__Haliangiaceae	 g__Haliangium	 s__uncultured_Myxococcales
4f65c5e2364d35c9a39ece0e6e56a4a0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
f961595840d5ceacd9ac32b9b1ba49ec	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_cyanobacterium
99821e74ddc87ba1d5d064de8eb0b6e5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
f6972772d1e3b8f6b14375beeb42ca92	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
a7781a03944b9dc1fb3343c77cd0e33c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Edaphobaculum	
59aa647029667014018114bf6df0c4b2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
bcf5996ce913879fb49f0cb8a0d9ad49	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__BIrii41	 g__BIrii41	
37bb501f73910d844127c530ccb4ce1c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae		
d44db7eb37459f82eadd47c32ee53c79	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
d6f9e8092e6977b367f17907d9d2c2df	d__Bacteria	 p__Chloroflexi	 c__Dehalococcoidia	 o__S085	 f__S085	 g__S085	
d1e8391f1962632ed718e23ac4b66477	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
320cc4ab80e68511a52def2a7bcba4d0	d__Bacteria	 p__Abditibacteriota	 c__Abditibacteria	 o__Abditibacteriales	 f__Abditibacteriaceae	 g__Abditibacterium	
d8a773fc4055c8cd4b5cd25a653db377	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	
c73fcba5b66314d7c4f965f00941ce94	d__Bacteria						
5b05ec598b29512d9ba315f0821a5df2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
