sample_ID	soil_sample	timepoint	inoculation	treatment	biorep	original_specifictreatment	original_id	to_be_analyzed	to_be_analyzed_carrot	to_be_analyzed_noCarrot	treat_three	treat_three_sorted
SSNTP2INNTRNBR3	no	two	None	None	3	Timepoint2control_no_carrot	ITS.E7	yes	no	yes	Control_NO_CL09	Control_NO_CL09
SSNTP2INNTRNBR4	no	two	None	None	4	Timepoint2control_no_carrot	ITS.E8	no	no	no	Control_NO_CL09	Control_NO_CL09
SSCTP2INYTRNBR1	carrot	two	CL09	None	1	Timepoint2Carrot_and_CL09	ITS.E9	yes	yes	no	Control_CL09	Control_CL09
SSCTP2INYTRNBR2	carrot	two	CL09	None	2	Timepoint2Carrot_and_CL09	ITS.E10	yes	yes	no	Control_CL09	Control_CL09
SSCTP2INYTRNBR3	carrot	two	CL09	None	3	Timepoint2Carrot_and_CL09	ITS.E11	yes	yes	no	Control_CL09	Control_CL09
SSCTP2INYTRNBR4	carrot	two	CL09	None	4	Timepoint2Carrot_and_CL09	ITS.E12	no	no	no	Control_CL09	Control_CL09
SSNTP2INYTRNBR1	no	two	CL09	None	1	Timepoint2No_carrot_CL09	ITS.F1	yes	no	yes	Control_CL09	Control_CL09
SSNTP2INYTRNBR2	no	two	CL09	None	2	Timepoint2No_carrot_CL09	ITS.F2	yes	no	yes	Control_CL09	Control_CL09
SSNTP2INYTRNBR3	no	two	CL09	None	3	Timepoint2No_carrot_CL09	ITS.F3	yes	no	yes	Control_CL09	Control_CL09
SSNTP2INYTRNBR4	no	two	CL09	None	4	Timepoint2No_carrot_CL09	ITS.F4	no	no	no	Control_CL09	Control_CL09
SSCTP2INNTRRBR1	carrot	two	None	Ridomil	1	Timepoint2Riddomil_with_carrot	ITS.F5	yes	yes	no	Ridomil_NO_CL09	Ridomil_NO_CL09
SSCTP2INNTRRBR2	carrot	two	None	Ridomil	2	Timepoint2Riddomil_with_carrot	ITS.F6	yes	yes	no	Ridomil_NO_CL09	Ridomil_NO_CL09
SSCTP2INNTRRBR3	carrot	two	None	Ridomil	3	Timepoint2Riddomil_with_carrot	ITS.F7	no	no	no	Ridomil_NO_CL09	Ridomil_NO_CL09
SSCTP2INNTRRBR4	carrot	two	None	Ridomil	4	Timepoint2Riddomil_with_carrot	ITS.F8	yes	yes	no	Ridomil_NO_CL09	Ridomil_NO_CL09
SSNTP2INNTRRBR1	no	two	None	Ridomil	1	Timepoint2Riddomil_no_carrot	ITS.F9	yes	no	yes	Ridomil_NO_CL09	Ridomil_NO_CL09
SSNTP2INNTRRBR2	no	two	None	Ridomil	2	Timepoint2Riddomil_no_carrot	ITS.F10	no	no	no	Ridomil_NO_CL09	Ridomil_NO_CL09
SSNTP2INNTRRBR3	no	two	None	Ridomil	3	Timepoint2Riddomil_no_carrot	ITS.F11	yes	no	yes	Ridomil_NO_CL09	Ridomil_NO_CL09
SSNTP2INNTRRBR4	no	two	None	Ridomil	4	Timepoint2Riddomil_no_carrot	ITS.F12	yes	no	yes	Ridomil_NO_CL09	Ridomil_NO_CL09
SSCTP2INYTRRBR1	carrot	two	CL09	Ridomil	1	Timepoint2Riddomil_carrot_and_CL09	ITS.G1	yes	yes	no	Ridomil_CL09	Ridomil_CL09
SSCTP2INYTRRBR2	carrot	two	CL09	Ridomil	2	Timepoint2Riddomil_carrot_and_CL09	ITS.G2	yes	yes	no	Ridomil_CL09	Ridomil_CL09
SSCTP2INYTRRBR3	carrot	two	CL09	Ridomil	3	Timepoint2Riddomil_carrot_and_CL09	ITS.G3	yes	yes	no	Ridomil_CL09	Ridomil_CL09
SSCTP2INYTRRBR4	carrot	two	CL09	Ridomil	4	Timepoint2Riddomil_carrot_and_CL09	ITS.G4	no	no	no	Ridomil_CL09	Ridomil_CL09
SSNTP2INYTRRBR1	no	two	CL09	Ridomil	1	Timepoint2Riddomil_and_CL09_no_carrot	ITS.G5	yes	no	yes	Ridomil_CL09	Ridomil_CL09
